label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
adho mukha svanasana,0.632275104117647,0.5049889045588235,0.6345942029411764,0.5072899197058823,0.6353252376470588,0.5052979844117647,0.5975484710294117,0.5115296589705882,0.5971333683823529,0.5050277125,0.5334522120588234,0.516555479117647,0.5311728136764706,0.4985491227941176,0.6518096786764707,0.5209922832352941,0.6542254754411765,0.5071466777941176,0.734883784117647,0.5226660136176471,0.7385177654411764,0.5179574667647059,0.3073215779411765,0.4940778579411764,0.3065720488235294,0.48212384117647056,0.5241824469117647,0.4868055747058823,0.4987382697058824,0.4740161251470589,0.6957602575,0.4931817951176471,0.6407146283823529,0.4575562589705882
anjaneyasana,0.25494851621875,0.50805259,0.246603872796875,0.5101800183796875,0.247659328296875,0.507415378265625,0.27991626478125,0.51190339071875,0.285942698125,0.5120596786875,0.37639098,0.5231242540625,0.37756872546875,0.50033038203125,0.32706113640625,0.540851158671875,0.326270856953125,0.515779616875,0.27812151528125,0.55264253584375,0.287678314109375,0.523311531328125,0.672555993125,0.5075920135937501,0.6684142843750001,0.4828021015625,0.7476023615625,0.568872197421875,0.72048683234375,0.406816340828125,0.8549432934375,0.6245697775,0.8584973765625,0.373059860046875
ardha chandrasana,0.46302794461538466,0.46536927023076924,0.4635797275,0.46532254803846157,0.46506560442307693,0.4641674005192308,0.46724732365384614,0.46716620865384617,0.47086599826923076,0.46833642999999997,0.44636294538461535,0.4710426321153846,0.4722357926923077,0.48540592865384613,0.43066622442307695,0.4846471164423077,0.4959985853846154,0.4792190434615385,0.4433108453076923,0.4851390039423077,0.5261372906538462,0.47908190740384615,0.4014296198076923,0.5004574444230769,0.4112994011538461,0.4975826778846154,0.4878950682692308,0.5491031678846153,0.5317838961538461,0.4537069088461539,0.6072580285192308,0.5874714418076923,0.6797503435384615,0.40003877401923077
ardha matsyendrasana,0.18278665933333332,0.4623356112222222,0.15231144267777777,0.48267355266666667,0.15201777906666666,0.4527338676666667,0.17362134093333334,0.5188725748888889,0.17053898483333332,0.4509177755555555,0.34571582844444443,0.6072067807333333,0.3445265155555556,0.36413600488888886,0.5583345871111111,0.6790344536666667,0.5700115862222223,0.2940768252777778,0.6466270694444444,0.6806317776666667,0.6823106255555555,0.28417972436666666,0.7731401175555555,0.5570386111111111,0.7713314238888889,0.4119008522222222,0.6559813404444444,0.599365381,0.6148831555555555,0.46870348,0.8574547629999999,0.44812903972222223,0.8450136108888889,0.6062959925222222
ardha uttanasana,0.35998574742424244,0.5509371994090909,0.3362422471969697,0.5598697336666667,0.33544388318181817,0.5529828686818181,0.2817238893333333,0.5613211168181819,0.27730070834848486,0.5457408912121212,0.2922942333333333,0.5286413856060606,0.28851325901515157,0.5083168695454546,0.507714901969697,0.5237841009090909,0.5014147763333333,0.49707539045454546,0.6863756874242425,0.5204309275,0.6842223467121212,0.4932512316666667,0.1508587605,0.4347326048787879,0.15082285784848487,0.4026379087424243,0.5246256733333333,0.4389316286363636,0.5268487363636364,0.4189207754545455,0.8574223530303031,0.44781361848484846,0.8650374704545455,0.4274231074242424
ashtanga namaskara,0.5773465754545455,0.4449868142424242,0.560219413030303,0.4456156737818182,0.5609405021212122,0.44086540276969693,0.5379499966666668,0.4546251626060606,0.5365761793939394,0.4416088322424242,0.5372792478787878,0.47472886554545457,0.5350544621212121,0.44667716615151515,0.4902072836363636,0.4891417196969696,0.49451074696969693,0.4402405804848485,0.5951017809090909,0.4711839754545455,0.6004925090909091,0.4445058915757576,0.4170639203030303,0.5189335990909091,0.42494828242424243,0.4985374454545455,0.5705156536363637,0.55544525,0.5761234363636363,0.5268569312424243,0.5079235890909092,0.5997767361818181,0.5112045606060606,0.561363367939394
baddha konasana,0.32468334771428575,0.5204533407142857,0.3136717892857143,0.5397972988,0.31147683985714286,0.5068328972857143,0.3352899248571429,0.5606039900714285,0.3308459908571429,0.48797722771428576,0.423821904,0.5978471064285714,0.41711856914285717,0.43036450242857144,0.5761391627142858,0.6008793462857143,0.5625034565714285,0.4210379837142857,0.6811401314285714,0.5664040041428572,0.6646055645714285,0.4516491899285714,0.6156445504285715,0.5388922391428571,0.6102452662857143,0.4428371974285714,0.5939511941428571,0.6717288891428571,0.584413542,0.2645700510857143,0.6994750135714286,0.5060140080714286,0.697450391,0.44014434314285716
balasana,0.5763397770422536,0.48046134225352105,0.5734865095774648,0.4792079590140845,0.5742312077464788,0.4752102945070422,0.530097257887324,0.48317516577464786,0.532912583943662,0.47862827676056335,0.48118300183098595,0.5117009557746479,0.4821320888732394,0.4817371343661972,0.5694560488732395,0.48466991239436624,0.5649917123943662,0.46599801028169013,0.5907175687323943,0.44837830901408454,0.5828902208450704,0.4420355498591549,0.44899981845070425,0.571821823943662,0.44602738647887324,0.5420645497183099,0.5728551366197183,0.5308096725352113,0.577823686056338,0.5118612849295775,0.570674082112676,0.5793862350704225,0.563538563943662,0.5533275567746478
bhujangasana,0.27477987693150685,0.5244506201917808,0.266910173369863,0.524815989328767,0.26813835027397265,0.5190284904383561,0.3031125335616438,0.52499711130137,0.3066619180821918,0.5136903737123287,0.4014725817808219,0.5324444946575343,0.3988311676712329,0.5129177313698631,0.5829087906849315,0.5350541085479452,0.5807395878082192,0.502197402739726,0.7170745306849314,0.5286678620273972,0.7153052493150684,0.5075883540273973,0.6354883557534247,0.5158588736986301,0.6325747768493151,0.5046049576712329,0.6775856642465754,0.5094124516438355,0.6748670519178082,0.48056141150684933,0.6725214538356165,0.4970034484931507,0.6705880412328767,0.44705339431506846
bitilasana,0.30063523942528736,0.5922679630965517,0.28522853942528736,0.592342975883908,0.286424510229885,0.5918782120839081,0.2888868437931035,0.5843093227931034,0.29073468183908047,0.5834076449770115,0.35906960965517243,0.561184703724138,0.36004489344827584,0.5759985120689655,0.584900269770115,0.5680159616551724,0.5910828102298851,0.581911969770115,0.7610929277011494,0.5727145376321839,0.7756717326436783,0.5923116777011495,0.44564993850574713,0.49066399310344827,0.4464047164367816,0.48721212448275864,0.7524554625287356,0.48713005103448276,0.7584746318390805,0.48108416252873565,0.7227347459770115,0.42847367154022986,0.729777965862069,0.3915810296896552
chaturanga dandasana,0.48422930299999994,0.49023729868,0.4654038201111111,0.49210423889777777,0.46650442066666664,0.48923405197777775,0.4283120038888889,0.4969956478922222,0.4296748468888889,0.48876181122222223,0.4302228062222222,0.4941288521733333,0.4323629478888889,0.48809376042888886,0.4771513376666667,0.5062736185111111,0.4824302083333333,0.4786805667,0.612805379888889,0.5014951751111111,0.6169786396666667,0.48981156744444443,0.4575309082222222,0.49616865644444447,0.46028595188888893,0.48582761288888887,0.5040884443333333,0.5091948591444445,0.5081522506666667,0.49453799056666664,0.5270280078888889,0.5248958293888889,0.5332437508333333,0.49537407561111113
dandasana,0.26097815766666665,0.502602379,0.23415251733333334,0.5049651685,0.23426978736666668,0.4992122455,0.2452842415,0.509702153,0.24454645016666668,0.49813248116666664,0.3807773645,0.5274855955000001,0.3801858473333333,0.49091363109999997,0.5806359703333333,0.5259604273333334,0.577772073,0.4902897241333333,0.74268580175,0.530753446,0.7382054958333334,0.49955176689999997,0.7388574640000001,0.5321510916666666,0.7356831401666667,0.49220226699999997,0.7658329996666667,0.5014539083333334,0.7618186113333334,0.496805043,0.7965117076666667,0.47611495433333334,0.7968658205,0.48733630798333333
dhanurasana,0.37454218989130433,0.5342840919565218,0.3602163002173913,0.5383774296956522,0.36229301478260867,0.5337695377173912,0.39276292369565213,0.5324895376086957,0.3952236443478261,0.5246664539130436,0.4950827493478261,0.5221539265217391,0.4959647191304348,0.5135131554347826,0.39072696586956523,0.48670938367391303,0.39011447347826084,0.48477983717391304,0.2976986125217391,0.4659218068695652,0.3015807063695652,0.448844086173913,0.7387142449999999,0.5057414435869565,0.7483027213043478,0.49635424817391305,0.5957306423913044,0.4850773161521739,0.6024430560869566,0.4024464214130435,0.3176909693478261,0.4643401416739131,0.32263011347826087,0.45308111626086955
eka pada rajakapotasana,0.21942469811363638,0.5205099418181818,0.22560019338636364,0.5287710025,0.22450593897727272,0.5202050693181818,0.2733560965909091,0.5261269747727272,0.2718626625,0.5120886645454545,0.3548844336363636,0.5160490215909092,0.34139952068181817,0.4620078095454545,0.2504164225909091,0.5890713120454545,0.20712554568181815,0.4741617466818182,0.30590795845454544,0.5760840361363636,0.28235663327272725,0.5358930852727273,0.7375427218181817,0.4970633609090909,0.7393587938636365,0.4392456597727273,0.8640954318181818,0.7501034787045455,0.8196095377272727,0.3143227489090909,0.632583429090909,0.6200251742045455,0.7845728963636364,0.38787038704545457
garudasana,0.13911816712820513,0.4880323544871795,0.11719035342307692,0.5037578794871795,0.1176900813974359,0.4764481455128205,0.13259788283333335,0.5242218788461539,0.13273817002564103,0.4634263134615385,0.2399148791025641,0.5536261432051283,0.2378217007692308,0.4372530458974359,0.31103163269230766,0.5225628761538461,0.31656205628205125,0.4706924828205128,0.18447460037179486,0.49634485461538463,0.19414591634615386,0.49068952025641027,0.5248112558974359,0.5384001798717949,0.524101088076923,0.46176234487179485,0.7036088383333333,0.4823284923076923,0.6897340166666667,0.52313626,0.8795095002564103,0.4977339451282051,0.8738941883333333,0.5028567182051281
janu sirsasana,0.4733051989583333,0.5498171902083333,0.4573976070833334,0.5608167429166667,0.45984432875000003,0.542158874375,0.4063785739583334,0.5615651802083333,0.4082972102083333,0.5222222683333334,0.3791384075,0.5782118639583333,0.3880946158333333,0.47318702500000004,0.5376171572916667,0.5990313027083333,0.55376210125,0.5087625791666667,0.5838589189583333,0.6039384249791667,0.5871370254166667,0.5615213485208334,0.5155593749999999,0.5227375758333334,0.5164814414583333,0.3845509710833333,0.6119106820833333,0.6300870435416667,0.6190988291666667,0.28806586389583333,0.6302424991666666,0.625102374375,0.6319750679166667,0.3190892112916667
malasana,0.2335747217647059,0.5201990742647059,0.20105897986764706,0.5440378689705883,0.2001716188970588,0.49812898279411766,0.20843409244117647,0.5705111279411765,0.20753665764705884,0.4673161564705883,0.35512260176470584,0.6220667620588235,0.35261500382352945,0.40240843,0.5917604257352941,0.6840293432352942,0.5975648404411764,0.32314578441176467,0.5621066552941176,0.5584787197058824,0.5694283116176471,0.4607330045588235,0.7064932529411765,0.5650177964705883,0.7027706419117647,0.42980792602941176,0.5451902054411765,0.7055013761764706,0.5441078123529413,0.30784158244117643,0.8574527563235295,0.6252655879411764,0.8487997786764706,0.3668636835882353
marjaryasana,0.4362887941304348,0.6033266693478261,0.4358617715217391,0.6110819691304348,0.437006505,0.6117923095652175,0.38040269043478264,0.6181771875,0.38157178239130435,0.6173196159782609,0.3143212934782609,0.5874645076086956,0.31228930456521736,0.5874797460869565,0.5502278058695652,0.5943154469565217,0.557751342826087,0.5987983441304348,0.7361496317391305,0.6029413095652174,0.757242655,0.6146218886956522,0.39895517434782607,0.4616037404347826,0.3984692106521739,0.45676326782608695,0.7123939436956522,0.4473987997826087,0.7324378480434782,0.44866847252173914,0.7032330932608695,0.37673950237826087,0.7180042200000001,0.3423084161163043
matsyasana,0.5148211766666667,0.5377929312807017,0.5286183361403508,0.5354551004719298,0.5322239142105263,0.5396699038017544,0.5314936817543859,0.5270228642807018,0.5371438315789474,0.5347979772105262,0.4705609635087719,0.5249802490350877,0.47405070070175437,0.5205797512280701,0.5523053236842105,0.5222100343859649,0.560256449122807,0.5169457728070176,0.5383458573684211,0.5082772712982456,0.5451170610526316,0.5128237061403509,0.5258874696491228,0.5029412561403509,0.5272828131578947,0.5001027045614035,0.5443294033333334,0.4790738571754386,0.5489521140350877,0.49306367085964914,0.5402933938596491,0.46022746901754386,0.5450575642105263,0.4773639781578948
padmasana,0.2315784972647059,0.5019621252941177,0.20325906419117648,0.5259977332352941,0.2028992578529412,0.47977799250000003,0.21668141810294117,0.5593468075,0.2157471213235294,0.454808065,0.3697560516176471,0.6277746860294118,0.3700985932352941,0.3857992926470588,0.5848233708823529,0.6621842561764706,0.5874245073529413,0.34565094764705884,0.7052612369117647,0.7019024297058823,0.7024089014705882,0.30607574352941175,0.7340931152941177,0.5847809845588234,0.7321411202941176,0.42683769161764706,0.8238842277941176,0.7466844617647058,0.8297894577941177,0.26385664977941176,0.7913687794117648,0.48099668205882345,0.7925939147058824,0.5403308451470588
paschimottanasana,0.48449744892857144,0.5035179871428571,0.46819766874999996,0.5059576378571429,0.469880378125,0.4982041007142857,0.4065927092857143,0.4998832682142857,0.40738847482142854,0.4842221857142857,0.3889470648214286,0.5053090491071429,0.3941802951785714,0.4517819224285714,0.5846974617857142,0.5282924955357143,0.6005447239285714,0.494733685,0.6140169064285714,0.5510424243928571,0.6170283219642857,0.5436559940892857,0.5821458358928571,0.46062091132142857,0.5847859333928571,0.4047739880535714,0.6254075248214285,0.5064031846428572,0.6354259192857142,0.48911315017857143,0.6510825114285714,0.5539052173035715,0.6613754957142858,0.46592654482142853
phalakasana,0.42474995473684213,0.5663849105438596,0.4103250759649123,0.5697029145614035,0.4100560016491228,0.5676076553157895,0.3904832872807018,0.5667941466666666,0.38848165035087723,0.561474725754386,0.4136496584210526,0.5504100852631578,0.406313700877193,0.5414108389473684,0.5633604775438597,0.5354916866666667,0.5465411319298246,0.5207424850877193,0.6595479735087719,0.5531101556140351,0.6294828857894736,0.5346793910526316,0.4651518643859649,0.5027347559649123,0.461551379122807,0.493737,0.5514669029824562,0.46491306245614034,0.5460158150877193,0.4571727559649123,0.6251438628070176,0.4346994602807018,0.6149440421052632,0.4205249383508772
prasarita padottanasana,0.6799384225757575,0.5114834493939394,0.6864370610606061,0.5300149865151516,0.6867521665151515,0.4984624296969697,0.6503751921212121,0.5594539675757576,0.6507281010606061,0.46964959803030304,0.5440455401515152,0.620700591060606,0.5411997943939394,0.3985535384848485,0.5523661662121212,0.6734279312121212,0.5499282074242425,0.3379911361212121,0.6465971674242424,0.6774193736363636,0.653350407878788,0.35412208307575754,0.21493899745454545,0.5697364633333333,0.21531459203030304,0.39950531,0.5042117924242424,0.6965465833333333,0.5057396251515152,0.25993184469696967,0.7269673433333333,0.8280541003181818,0.7371763151515152,0.1223090483378788
salabhasana,0.4982611756896552,0.628484055057931,0.4814030468965517,0.6287121038448276,0.4823182168965517,0.6268205430689655,0.47615921758620694,0.6177696587413793,0.47747141982758623,0.6252483222068965,0.5139704201724138,0.5909135179310344,0.5305324896551724,0.5968289025862069,0.5390335318965518,0.5489603220689655,0.5520323855172413,0.537872260862069,0.5581065968965517,0.5236275107068965,0.5713040436206896,0.4991600887241379,0.588463602413793,0.5002439506896552,0.599005225862069,0.49933163103448275,0.5391014496551725,0.44156931487931034,0.5467260234482759,0.43495256775862073,0.4659971256896552,0.381751627,0.48013840672413793,0.3634422400172414
savasana,0.44491949596491226,0.6046457965087719,0.46209516859649125,0.6067264898245615,0.4582819503508772,0.6117403650526316,0.5093918638596491,0.6013705648070176,0.500331322631579,0.6153300782982456,0.5045454780701754,0.5803797101754385,0.48507978385964917,0.5900599265789473,0.5320299085964912,0.5491514187719299,0.4962174989473684,0.5664281907017544,0.5503072050877192,0.5160386547368421,0.4871525056140351,0.5434679763157895,0.47045613210526316,0.5051195987719298,0.45432993456140347,0.5190117342105263,0.46696556228070174,0.43540814589473686,0.447361000877193,0.46832761631578945,0.4910166940350877,0.389287923877193,0.46209517517543863,0.4341628557719298
setu bandha sarvangasana,0.5320404831034483,0.5288705075517242,0.5497707222413794,0.5304330426896552,0.5524672306896552,0.5302974086896551,0.6091722482758621,0.5294589611724138,0.6172313465517241,0.5307146710172413,0.6086703865517242,0.5249861560344827,0.6169646736206896,0.5203620132758621,0.6378990501724138,0.5107016406896552,0.6367072655172414,0.5073398027586207,0.6424440286206897,0.48041409568965515,0.6360376006896552,0.4979112213793104,0.40381908844827585,0.5113929786206897,0.4103284587931034,0.5186668836206896,0.3252075801724138,0.4713787036896551,0.3289607120689655,0.497716898362069,0.6273826798275861,0.4725869956206897,0.6268861074137931,0.49587485293103445
sukhasana,0.17297091731999997,0.49612812320000005,0.1391812633,0.5244917556,0.13860705568,0.46480951159999995,0.15933677499999999,0.5618705065999999,0.16090873882,0.4279210922,0.3466106782,0.6450757436000001,0.3467903858,0.3424113458,0.599937279,0.693298545,0.6042154308,0.2916906186,0.7024322784,0.7532535763999999,0.703304401,0.23074671278,0.7644028075999999,0.5865688274,0.764867687,0.401517857,0.8098396991999999,0.791229802,0.8115955694,0.19373687822000002,0.8955805861999999,0.4532441478,0.9013175407999999,0.5413448374000001
tadasana,0.17102922525925926,0.49684962444444447,0.15871062059259258,0.5134102059259259,0.1603413382037037,0.4840052646296296,0.17124831666666668,0.5229344531481481,0.17276698287037037,0.46635219074074075,0.26754235814814814,0.5537950116666667,0.2674559340740741,0.4334694137037037,0.3174323112962963,0.571717852962963,0.3146620383333333,0.41827245037037036,0.3403464119444444,0.5818068670370371,0.3356952076111111,0.40749125007407405,0.5141860083333333,0.5293042461111112,0.5139057270370371,0.45618817500000003,0.722559752037037,0.5235815407407407,0.7233760707407407,0.4606367738888889,0.8965373327777777,0.516825194074074,0.900986357037037,0.4686344751851852
urdhva hastasana,0.2259874843404255,0.4956137778723404,0.21860048727659576,0.49965799936170213,0.21998874957446807,0.4875200289361702,0.24321186191489363,0.5068843102127659,0.24603587872340427,0.4791083021276596,0.2988842972340426,0.5216360291489361,0.2995414991489362,0.47191633914893616,0.18929723257446807,0.5248283034042553,0.1767172820425532,0.4689051934042553,0.08260310659574469,0.5105924787234043,0.08173421140425532,0.4741240182978723,0.5422078365957447,0.5169680112765958,0.542468395106383,0.48234612893617024,0.7584259080851063,0.5126798140425531,0.7589860344680851,0.48162648617021275,0.9406565010638297,0.5138746761702128,0.9408582014893617,0.4811677474468085
urdhva mukha svanasana,0.22145143920634922,0.4288812104920635,0.21564941912698413,0.4340376077936508,0.21541275215873015,0.43218214088888884,0.2597768016825397,0.436654176,0.25861120101587304,0.43587546173015873,0.36917371174603175,0.4266602496031746,0.36988096174603174,0.4404314576984127,0.585955482063492,0.42631010414285714,0.582575255079365,0.43509207412698414,0.74592465,0.4238636513968254,0.7415415695238096,0.4317471373015873,0.6434035073015872,0.4525394326984127,0.638012569047619,0.4603504628571429,0.7120333212698413,0.5195999993650793,0.7061969219047619,0.509907780952381,0.7458192615873016,0.5928907961904761,0.7393030480952381,0.5436946953809524
ustrasana,0.10875923143908045,0.5258103963678161,0.12256768610574713,0.5218986421954024,0.12417189382758621,0.5236127683793104,0.16872719218390805,0.5122365571264368,0.16966926340229885,0.5158554813793103,0.20271885586206895,0.5155766190804598,0.20514848126436783,0.5081689991954023,0.4944924890804598,0.5062911001149426,0.4868016196666667,0.4978394064367816,0.728928656091954,0.5007580585057471,0.7269140787356322,0.5033462018390804,0.4476507295402299,0.4983756193103448,0.4489065626436782,0.5028860104597701,0.8790110911494252,0.47965361183908045,0.8809917718390805,0.5087489948275862,0.8711120163218391,0.4826669966666667,0.8717456164367815,0.4780130765517241
utkatasana,0.31043451625,0.5173384659722222,0.29473929604166665,0.5206146804166667,0.29604417083333334,0.51306396125,0.2993869712875,0.5239168626388889,0.29978896669444444,0.49814181930555557,0.3605909973611111,0.5258524198611112,0.35724039458333334,0.4862341088888889,0.3081138593055555,0.5369433679166666,0.2938332911111111,0.4909479598611111,0.22885526045833332,0.52985318875,0.20380409104166666,0.4961739420833334,0.5826602672222223,0.5043984343055556,0.5798556097222223,0.47024940430555556,0.7006349701388889,0.5073275779166667,0.7002855927777778,0.49355220625,0.8776137511111111,0.49096558541666663,0.8783044215277778,0.4783750059722222
uttanasana,0.5531290380952381,0.4874289126031746,0.5584580215873015,0.48783044476190474,0.5577140849206349,0.48620869158730157,0.5188595993015873,0.49088651158730157,0.5195181273968255,0.4817114677777778,0.4373920049206349,0.48772783000000003,0.43019323428571427,0.49497424634920634,0.6403314223809524,0.5277998687301587,0.6360695463492063,0.49859496444444446,0.8477769166666667,0.5187815225396826,0.8355360741269842,0.49393922841269844,0.09965743153968254,0.5120054736825397,0.10192682695238095,0.4992584209047619,0.5055013236507936,0.5197756587301587,0.5047024052380952,0.5103653923809525,0.8767813082539683,0.5231967984126984,0.876308630952381,0.5082994068253968
utthita ashwa sanchalanasana,0.2759440884210526,0.49224502947368426,0.26389799105263156,0.4982440766842105,0.26448941263157894,0.49339907357894736,0.28795402236842105,0.5045643521052632,0.28906831236842107,0.49348349131578945,0.3750076589473684,0.5058200413157895,0.3717997013157895,0.48068900342105264,0.2695929564473684,0.49580735105263163,0.2661012776315789,0.4721284515789474,0.18652629613157892,0.5018391861842105,0.1866952479736842,0.47997092789473683,0.6524076589473684,0.4966563889473684,0.6534020171052631,0.47862172026315786,0.7678128286842105,0.49220857244736843,0.7458751897368421,0.480692982368421,0.900989767631579,0.5120183372631579,0.9024455192105263,0.46713807105263155
utthita parsvakonasana,0.3338625692063492,0.4670096876190476,0.334682070952381,0.46888032895238096,0.33597227088888887,0.46049666290476193,0.3650671449206349,0.4730702861269841,0.3688722337142857,0.45968812041269846,0.396040170952381,0.502084953968254,0.4149847777777778,0.45099778,0.40484947242857144,0.456539533015873,0.447773440952381,0.4926320577777778,0.4130287629047619,0.4179447716984127,0.47041730140317456,0.5228050981904762,0.5480339877777778,0.5381420612698412,0.5513603985714285,0.46380597095238096,0.6530060136507937,0.7020084017460319,0.6502007028571428,0.29537186365079365,0.8338984052380952,0.7895229193968254,0.831768914920635,0.22009399192063492
utthita trikonasana,0.404418954057971,0.44428918963768116,0.4114341475362319,0.44179839071014493,0.41655615652173916,0.43904241530434784,0.446779694057971,0.44291605943478257,0.4594537975362319,0.443512534768116,0.4454306675362319,0.46834814144927533,0.49232145202898553,0.4511674531884058,0.4184372061884058,0.47359800695652177,0.5380138023188406,0.4501376204347826,0.4015180677550725,0.4835252315942029,0.5625629068985507,0.44060920507246376,0.5175447327536232,0.53677753,0.5317439615942029,0.46995906304347823,0.723125275942029,0.6701110495652174,0.7282651921739131,0.3377557123188406,0.9105151647826086,0.7834875977536232,0.910364534057971,0.22454591579710143
vasisthasana,0.44943938094594593,0.427999199027027,0.45074542837837844,0.42746938735135137,0.45432260662162155,0.42047166216216214,0.4776529212162162,0.429358569972973,0.4859929517567568,0.4210563231081081,0.4847287158108108,0.454416032027027,0.5140172197297297,0.4297459189189189,0.46948042270270274,0.4686443478378378,0.5494606563513513,0.4211625514864865,0.45731680035135136,0.4793166171621621,0.5743990725,0.4138132567027027,0.5781800112162162,0.5043514598648648,0.5926728932432432,0.47875823121621625,0.6616877454054054,0.5229391358108108,0.6809347424324325,0.5463900194594594,0.7282447970405405,0.5261108472432432,0.7515081881756757,0.5944133727567568
virabhadrasana i,0.2671878838518519,0.49853715944444443,0.25879113905555556,0.5017228074074074,0.2595160765555556,0.49760356685185186,0.286628381462963,0.5006592162962963,0.2883190665740741,0.49166675277777777,0.3622865357407407,0.5057166690740741,0.3607301916666667,0.48216652000000004,0.22771372185185185,0.5063225594444445,0.23037717166666666,0.4895276116666667,0.11986894092592593,0.5040124594444444,0.11680549285185185,0.4898087212962963,0.6306557174074073,0.5162121059259259,0.6323050894444444,0.4813885740740741,0.7455617018518518,0.6398929250000001,0.7442579075925926,0.36801983407407407,0.9127658094444444,0.6957057637037037,0.914205297037037,0.29919227816666666
virabhadrasana ii,0.16808629129090907,0.493817718,0.14641796243636365,0.5020017249090909,0.1456067431090909,0.48688964799999995,0.1591322856181818,0.5145635438181818,0.157417002,0.4827388405454546,0.2619107685454546,0.580086218909091,0.2627624770909091,0.41828806436363636,0.26599196345454545,0.7131668127272727,0.26093297509090907,0.28564637054545455,0.2656984627272727,0.8317884164363636,0.25472498327272725,0.17237674518181817,0.5475345027272728,0.5424556798181819,0.5475996716363636,0.4484167045454545,0.6707846,0.7048735614545455,0.6524350694545454,0.28799007752727274,0.8497511883636364,0.7976453970909091,0.8422428232727273,0.21933864
vriksasana,0.18042349122580645,0.5011341861290323,0.16432717099032257,0.5185410617741936,0.1640597476435484,0.4847853638709677,0.18003281030645163,0.5381303398387096,0.18007561418870968,0.46630673,0.26285666612903225,0.5718924482258064,0.26388184693548383,0.4308178040322581,0.25362601290322584,0.6034790382258065,0.2528858098387097,0.3992515420967742,0.1717666005,0.5396370827419356,0.17207456803225807,0.4626218256451613,0.5205260019354838,0.5421330248387096,0.5180107429032258,0.453796525,0.704831570967742,0.5873623483870968,0.6842293653225806,0.3897611277419355,0.8127794762903227,0.5105452980645161,0.7701733787096775,0.490996410483871
